year,tool,use
2012,Macros,0
2013,Macros,0
2014,Macros,0
2015,Macros,0
2016,Macros,0
2017,Macros,15
2018,Macros,15
2019,Macros,0
2020,Macros,0
2012,Pivot tables,0
2013,Pivot tables,50
2014,Pivot tables,0
2015,Pivot tables,0
2016,Pivot tables,30
2017,Pivot tables,20
2018,Pivot tables,20
2019,Pivot tables,0
2020,Pivot tables,0
2012,Excel formulas,30
2013,Excel formulas,20
2014,Excel formulas,70
2015,Excel formulas,0
2016,Excel formulas,20
2017,Excel formulas,35
2018,Excel formulas,35
2019,Excel formulas,0
2020,Excel formulas,0
2012,R,0
2013,R,0
2014,R,30
2015,R,0
2016,R,0
2017,R,0
2018,R,0
2019,R,30
2020,R,30
2012,Python,0
2013,Python,0
2014,Python,0
2015,Python,0
2016,Python,0
2017,Python,0
2018,Python,0
2019,Python,50
2020,Python,70
2012,Tableau,0
2013,Tableau,30
2014,Tableau,0
2015,Tableau,0
2016,Tableau,0
2017,Tableau,0
2018,Tableau,0
2019,Tableau,0
2020,Tableau,0
2012,ID tools,0
2013,ID tools,0
2014,ID tools,0
2015,ID tools,40
2016,ID tools,50
2017,ID tools,30
2018,ID tools,30
2019,ID tools,0
2020,ID tools,0
2012,Moodle,0
2013,Moodle,0
2014,Moodle,0
2015,Moodle,60
2016,Moodle,0
2017,Moodle,0
2018,Moodle,0
2019,Moodle,0
2020,Moodle,0
2012,SQL,0
2013,SQL,0
2014,SQL,0
2015,SQL,0
2016,SQL,0
2017,SQL,0
2018,SQL,0
2019,SQL,20
2020,SQL,0
2012,SPSS,70
2013,SPSS,0
2014,SPSS,0
2015,SPSS,0
2016,SPSS,0
2017,SPSS,0
2018,SPSS,0
2019,SPSS,0
2020,SPSS,0
